network_name,run_date,procedure_code,provider_type,care_setting,service_label,service_category,p50,p10,p25,p75,p90,pmin,pmax,pmean,psd,n_prices,n_groups,cv,hilo,p9010,p7525
Blue Premier,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,81.58,55.59,65.75,100.87,118.67,43.46,627.36,90.1580167079205,49.08046759250023,3232,56898,.54438275,14.435343,2.1347365,1.5341445
MyBlue Health HMO,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,74.84999999999999,54.23,59.94,89.11,106.63,43.05,580.7,79.04243743572127,32.43594270781924,2917,51838,.41036111,13.488966,1.9662548,1.4866533
ParPlan,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,86.39,55.59,66.36,102.23,120.27,43.46,627.36,90.32996743486983,40.2182275328263,3992,95483,.44523683,14.435343,2.1635187,1.5405365
Blue Advantage HMO,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,154.54,112.8,124.08,275.23,350.81,71.06,797.9400000000001,207.9850938337803,117.6367651883675,373,1192,.56560189,11.229102,3.1100178,2.2181656
Blue Choice PPO,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,301.175,118.44,138.18,424.13,593.33,98.14,877.58,318.9067897727274,181.3577584784294,352,827,.56868577,8.9421234,5.0095406,3.0694022
Blue Choice PPO common,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,291.59,118.44,124.08,398.18,573.02,98.14,877.58,303.0657643312105,174.2008645678519,314,763,.5747956,8.9421234,4.8380613,3.2090588
Blue Choice PPO group 039993,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,469.81,175.97,333.89,607.99,730.9400000000001,142.13,730.9400000000001,449.8036842105263,188.6257117325215,38,57,.41935119,5.1427565,4.1537762,1.8209291
Blue Essentials,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,275.795,121.71,124.08,391.42,538.0599999999999,92.5,822.59,289.8257225433527,166.5668276286969,346,462,.57471377,8.8928652,4.4208364,3.1545777
Blue Essentials common,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,275.795,121.71,124.08,391.42,538.0599999999999,92.5,822.59,289.8257225433527,166.5668276286969,346,462,.57471377,8.8928652,4.4208364,3.1545777
Blue Premier,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,130.285,112.8,123.96,278.62,373.37,99.26000000000001,781.7,215.7419999999999,134.978902350293,130,193,.62564963,7.875277,3.3100178,2.2476606
